id,name,description,author_name,modified,created,tags,references,public,adversary,targeted_countries,malware_families,attack_ids,industries,TLP,revision,groups,in_group,author,is_subscribing
604f71830890463ad789a994,Keyword Scraper,,Kailula4,2021-04-14T00:00:31.441000,2021-03-15T14:38:59.464000,[],[],1,,[],[],[],[],white,3,[],False,"{'username': 'Kailula4', 'id': '131997', 'avatar_url': 'https://otx.alienvault.com/assets/images/default-avatar.png', 'is_subscribed': False, 'is_following': False}",
61c8c3c70e4717e37a0cd3dd,BlackCat: A New Rust-based Ransomware Malware Spotted in the Wild,"The first Rust-language ransomware strain has been spotted in the wild, but security researchers have warned that the threat is ""very sophisticated"" and could pose a serious threat to the security systems in future.",esoporteingenieria2020,2021-12-26T19:34:31.084000,2021-12-26T19:34:31.084000,[],[],1,,[],[],[],[],white,1,[],False,"{'username': 'esoporteingenieria2020', 'id': '121604', 'avatar_url': '/otxapi/users/avatar_image/media/avatars/user_121604/resized/80/avatar_3b9c358f36.png', 'is_subscribed': False, 'is_following': False}",
61d9bf5e4e2960644d61370b,Ransomware Group Profile: BlackCat (Alphv-ng) - CloudSEK,"BlackCat is the first professional ransomware group to use the Rust programming language, according to researchers from CloudSEK, who have analysed the group’s activities and its activities on the dark web.",ElastZris,2022-01-08T16:44:14.528000,2022-01-08T16:44:14.528000,[],[],1,,[],[],[],[],white,1,[],False,"{'username': 'ElastZris', 'id': '176027', 'avatar_url': 'https://otx.alienvault.com/assets/images/default-avatar.png', 'is_subscribed': False, 'is_following': False}",
61d9bf672cd7905b87255bb7,Ransomware Group Profile: BlackCat (Alphv-ng) - CloudSEK,"BlackCat is the first professional ransomware group to use the Rust programming language, according to researchers from CloudSEK, who have analysed the group’s activities and its activities on the dark web.",ElastZris,2022-01-08T16:44:23.233000,2022-01-08T16:44:23.233000,[],[],1,,[],[],[],[],white,1,[],False,"{'username': 'ElastZris', 'id': '176027', 'avatar_url': 'https://otx.alienvault.com/assets/images/default-avatar.png', 'is_subscribed': False, 'is_following': False}",
61dbebad4c42a90107bf0e66,IOCs/BlackCat_Ransomware at main · CyberSoldiers/IOCs · GitHub,"GitHub is a free, open-to-use online platform that allows users to create, host and share content via the site's live-streaming platform, on the web, mobile and app.",demoextraa,2022-01-10T08:17:49.322000,2022-01-10T08:17:49.322000,[],[],1,,[],[],[],[],white,1,[],False,"{'username': 'demoextraa', 'id': '176114', 'avatar_url': 'https://otx.alienvault.com/assets/images/default-avatar.png', 'is_subscribed': False, 'is_following': False}",
61e76480a7331cbea55b1bdd,"BlackCat Ransomware | Highly-Configurable, Rust-Driven RaaS On The Prowl For Victims - SentinelOne",,caralin0702,2022-01-19T01:08:16.124000,2022-01-19T01:08:16.124000,[],[],1,,[],[],[],[],white,1,[],False,"{'username': 'caralin0702', 'id': '73972', 'avatar_url': 'https://otx.alienvault.com/assets/images/default-avatar.png', 'is_subscribed': False, 'is_following': False}",
61e7dc6b5797fe8da36fd840,"BlackCat Ransomware | Highly-Configurable, Rust-Driven RaaS On The Prowl For Victims",0c6f444c6940a3688ffc 6f8b9d5774c032e3551ebbccb64e4280ae7fc1fac479.,Sand-Storm,2022-01-19T09:39:55.446000,2022-01-19T09:39:55.446000,[],[],1,,[],[],[],[],white,1,[],False,"{'username': 'Sand-Storm', 'id': '94093', 'avatar_url': '/otxapi/users/avatar_image/media/avatars/user_94093/resized/80/avatar_281f69b768.png', 'is_subscribed': False, 'is_following': False}",
61ea997d233aa9f7a13e2c4a,"BlackCat Ransomware | Highly-Configurable, Rust-Driven RaaS On The Prowl For Victims","BlackCat (aka AlphaVM, AlphaV) is a newly established RaaS (Ransomware as a Service) with payloads written in Rust. While BlackCat is not the first ransomware written in the Rust language, it joins a small sliver of the malware landscape making use of this popular cross-platform language. First appearing in late November, BlackCat has reportedly been attacking targets in multiple countries, including Australia, India and the U.S, and demanding ransoms in the region of $400,000 to $3,000,000 in Bitcoin or Monero.",AlienVault,2022-02-23T12:39:44.335000,2022-01-21T11:31:09.091000,[],[],1,,[],[],[],[],white,2,[],False,"{'username': 'AlienVault', 'id': '2', 'avatar_url': '/otxapi/users/avatar_image/media/avatars/user_2/resized/80/avatar_dacfad0ca8.png', 'is_subscribed': True, 'is_following': False}",
61eb56fee2ba69792c83e48e,Sophiscated Rust-Driven Blackcat Ransomware,"BlackCat is a sophisticated ransomware-type program written in the Rust programming language. This program is used in Ransomware-as-a-Service (RaaS) operations. his ransomware is highly customizable and heavily human-operated, which is especially important as it is primarily used to target large entities. BlackCat currently supports both Windows and Linux operating systems. It support anti-analysis tactic. It oftenly distributed through infected email attachments (macros), torrent websites, malicious ads. BlackCat malware can employ four different encryption routines, use several cryptographic algorithms, proliferate via local networks (i.e., spread between computers), terminate virtual machines, and so on. It can also end running processes and close files that are open during encryption. The ransomware diminishes victims' recovery options by deleting Windows Shadow Volume Copies and emptying the Recycle Bin.",Provintell-Lab,2022-01-22T00:59:42.427000,2022-01-22T00:59:42.427000,[],[],1,,[],[],[],[],white,1,[],False,"{'username': 'Provintell-Lab', 'id': '112104', 'avatar_url': 'https://otx.alienvault.com/assets/images/default-avatar.png', 'is_subscribed': False, 'is_following': False}",
61edc6496271605d3c4f8826,BLCKCAT GENERA ACTIVIDAD Y NUEVOS INDICADORES,"BlackCat también conocido como ALPHV, opera como un RaaS (Ransomware as a Service) por ende es ofrecido en foros clandestinos de habla rusa como RAMP, XSS y Exploit, donde los ciberdelincuentes también buscan reclutar nuevos afiliados para comprometer entornos corporativos a cambio de un porcentaje del pago obtenido de esta actividad delictiva.",esoporteingenieria2020,2022-01-23T21:19:05.937000,2022-01-23T21:19:05.937000,[],[],1,,[],[],[],[],white,1,[],False,"{'username': 'esoporteingenieria2020', 'id': '121604', 'avatar_url': '/otxapi/users/avatar_image/media/avatars/user_121604/resized/80/avatar_3b9c358f36.png', 'is_subscribed': False, 'is_following': False}",
