,id,name,description,author_name,modified,created,tags,references,public,adversary,targeted_countries,malware_families,attack_ids,industries,TLP,revision,groups,in_group,author,is_subscribing
0,54e7bb1013432a1304b1a5ca,Fessleak Ransomware malvertising,,AlienVault,2015-02-20T22:54:53.410000,2015-02-20T22:54:08.378000,[],[],1,,[],[],[],[],green,3,[],False,"{'username': 'AlienVault', 'id': '2', 'avatar_url': '/otxapi/users/avatar_image/media/avatars/user_2/resized/80/avatar_dacfad0ca8.png', 'is_subscribed': True, 'is_following': False}",
1,54fa039b13432a1659b26558,BandarChor Ransomware,,AlienVault,2015-03-06T19:44:27.310000,2015-03-06T19:44:27.310000,[],[],1,,[],[],[],[],green,1,[],False,"{'username': 'AlienVault', 'id': '2', 'avatar_url': '/otxapi/users/avatar_image/media/avatars/user_2/resized/80/avatar_dacfad0ca8.png', 'is_subscribed': True, 'is_following': False}",
2,5525528e13432a055e241313,KRIPTOVOR: Infostealer Ransomware,,AlienVault,2015-07-29T17:38:53.801000,2015-04-08T16:08:46.955000,[],[],1,,[],[],[],[],green,12,[],False,"{'username': 'AlienVault', 'id': '2', 'avatar_url': '/otxapi/users/avatar_image/media/avatars/user_2/resized/80/avatar_dacfad0ca8.png', 'is_subscribed': True, 'is_following': False}",
3,553f3c1bb45ff55db8148b1c,Threat Spotlight: TeslaCrypt,"One of the latest ransomware variants is called TeslaCrypt and appears to be a derivative of the original Cryptolocker ransomware. Although it claims to be using asymmetric RSA-2048 to encrypt files, it is making use of symmetric AES instead.",AlienVault,2015-05-01T19:08:13.577000,2015-04-28T07:51:55.605000,[],[],1,,[],[],[],[],green,5,[],False,"{'username': 'AlienVault', 'id': '2', 'avatar_url': '/otxapi/users/avatar_image/media/avatars/user_2/resized/80/avatar_dacfad0ca8.png', 'is_subscribed': True, 'is_following': False}",
4,55561e6db45ff57afd641979,Nuclear EK DELIVERS RANSOMWARE,More ransomware from Nuclear EK,AlienVault,2017-08-24T10:51:03.574000,2015-05-15T16:27:25.533000,[],[],1,,[],[],[],[],green,2,[],False,"{'username': 'AlienVault', 'id': '2', 'avatar_url': '/otxapi/users/avatar_image/media/avatars/user_2/resized/80/avatar_dacfad0ca8.png', 'is_subscribed': True, 'is_following': False}",
5,555b6414b45ff5650e2e4e03,&#39;Los Pollos Hermanos&#39; crypto ransomware using PowerShell Empire,Crypto ransomware affecting Australian computers uses Breaking Bad theme in ransom demand.,AlienVault,2017-08-23T14:01:01.521000,2015-05-19T16:25:56.835000,[],[],1,,[],[],[],[],green,3,[],False,"{'username': 'AlienVault', 'id': '2', 'avatar_url': '/otxapi/users/avatar_image/media/avatars/user_2/resized/80/avatar_dacfad0ca8.png', 'is_subscribed': True, 'is_following': False}",
6,555ba0cfb45ff57a1ae5b43d,TeslaCrypt Ransomware,"In early February 2015, Dell SecureWorks Counter Threat Unit(TM) (CTU) researchers investigated a new file-encrypting ransomware family named TeslaCrypt, which was distributed by the popular Angler browser exploit kit. After encrypting popular file types with the AES-256 encryption algorithm, TeslaCrypt holds the files for a ransom of $250 to $1000. The malware uses the Tor anonymity network for command and control (C2) and does not require network connectivity to encrypt files, which complicates detection, prevention, and remediation.",AlienVault,2017-08-24T10:51:02.623000,2015-05-19T20:45:03.146000,[],[],1,,[],[],[],[],green,2,[],False,"{'username': 'AlienVault', 'id': '2', 'avatar_url': '/otxapi/users/avatar_image/media/avatars/user_2/resized/80/avatar_dacfad0ca8.png', 'is_subscribed': True, 'is_following': False}",
7,556de538b45ff55042cfbb95,Angler EK delivers Alpha Crypt Ransomware,Angler EK analysis from http://malware-traffic-analysis.net/2015/04/30/index.html,khalavak,2015-06-02T17:17:44.870000,2015-06-02T17:17:44.870000,[],[],1,,[],[],[],[],green,1,[],False,"{'username': 'khalavak', 'id': '121', 'avatar_url': '/otxapi/users/avatar_image/media/avatars/khalavak/resized/80/10865702_851465311577312_3517812978890021030_o.jpg', 'is_subscribed': False, 'is_following': False}",
8,556f2f7eb45ff51810cfbb92,Chinese Teens Take On the Mobile Ransomware Trade,"A new breed of cybercriminals has surfaced in China. They are bolder and more reckless than their more experienced veteran counterparts. All born in the 90s, these neophytes are not afraid to get caught, carelessly leaving a trail of traceable contact details online. They find and share readily available code and use those to make their own malware. It’s these same teens that are causing a surge in mobile ransomware in the Chinese underground market.",AlienVault,2015-06-03T16:46:54.125000,2015-06-03T16:46:54.125000,[],[],1,,[],[],[],[],green,1,[],False,"{'username': 'AlienVault', 'id': '2', 'avatar_url': '/otxapi/users/avatar_image/media/avatars/user_2/resized/80/avatar_dacfad0ca8.png', 'is_subscribed': True, 'is_following': False}",
9,5571eed1b45ff5607ecfbb90,"Angler EK: More Obfuscation, Fake Extensions, and Other Nonsense","Late last week Talos researchers noticed a drastic uptick in Angler Exploit Kit activity. We have covered Angler previously, such as the discussion of domain shadowing. This exploit kit evolves on an almost constant basis. However, the recent activity caught our attention due to  a change to the URL structure of the landing pages. This type of change doesn’t occur often and was coupled with some other interesting tidbits including how the HTTP 302 cushioning has evolved and the payload of another ransomware has changed.",AlienVault,2017-08-24T10:49:12.849000,2015-06-05T18:47:45.520000,[],[],1,,[],[],[],[],green,2,[],False,"{'username': 'AlienVault', 'id': '2', 'avatar_url': '/otxapi/users/avatar_image/media/avatars/user_2/resized/80/avatar_dacfad0ca8.png', 'is_subscribed': True, 'is_following': False}",
10,5571fc8bb45ff562e4cfbb98,Cryptowall Spam: My Resume Protects All Your Files,Talos has found a new SPAM campaign that is using multiple layers of obfuscation to attempt to evade detection.  Spammers are always evolving to get their messages to the end users by bypassing SPAM filters while still appearing convincing enough to get a user to complete the actions required to infect the system. The end payload for this campaign is Cryptowall 3.0. Talos has covered this threat repeatedly and this is another example of how the success of Ransomware has pushed it to one of the top threats we are seeing today. Whether its Exploit Kits or SPAM messages threat actors are pushing as many different variants of Ransomware as possible.,AlienVault,2015-06-05T19:46:19.912000,2015-06-05T19:46:19.912000,[],[],1,,[],[],[],[],green,1,[],False,"{'username': 'AlienVault', 'id': '2', 'avatar_url': '/otxapi/users/avatar_image/media/avatars/user_2/resized/80/avatar_dacfad0ca8.png', 'is_subscribed': True, 'is_following': False}",
11,5580740bb45ff571d525e6ee,Magnitude Exploit Kit Uses Newly Patched Adobe Vulnerability,"Adobe may have already patched a Flash Player vulnerability last week, but several users—especially those in the US, Canada, and the UK —are still currently exposed and are at risk of getting infected with CryptoWall 3.0. The Magnitude Exploit Kit included an exploit, detected as SWF_EXPLOIT.MJTE, for the said vulnerability, allowing attackers to spread crypto-ransomware into their target systems.",AlienVault,2015-06-16T19:07:55.684000,2015-06-16T19:07:55.684000,[],[],1,,[],[],[],[],green,1,[],False,"{'username': 'AlienVault', 'id': '2', 'avatar_url': '/otxapi/users/avatar_image/media/avatars/user_2/resized/80/avatar_dacfad0ca8.png', 'is_subscribed': True, 'is_following': False}",
12,55ccc95c4637f20b6e54b7c6,Locker: an Android ransomware full of surprises,"Android ransomware that claims it has detected ""forbidden pornographic"" pictures on your device, says it has reported it to the FBI and asks you to pay a fine of $500. To make the (fake) report appear even more scary, the malware displays your IP address and a picture of you. It says those were sent in the report to the FBI.",AlienVault,2017-08-24T10:48:56.241000,2015-08-13T16:44:12.631000,[],[],1,,[],[],[],[],green,5,[],False,"{'username': 'AlienVault', 'id': '2', 'avatar_url': '/otxapi/users/avatar_image/media/avatars/user_2/resized/80/avatar_dacfad0ca8.png', 'is_subscribed': True, 'is_following': False}",
